sample_id,timestamp,subject_id,session_id,camera_position,lighting_condition,exercise_type,active_arm,rom_elbow,upper_arm_angle_std,torso_sway_range,shoulder_angle_range,rep_duration,up_phase_duration,down_phase_duration,elbow_velocity_mean,elbow_velocity_std,motion_smoothness,elbow_drift_range,mean_visibility,label,error_type,notes
107,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,108.34,8.38,0.67,24.67,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
108,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,120.72,6.27,0.58,19.31,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
109,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,115.88,4.37,1.07,11.02,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
110,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,right,113.7,2.81,1.14,8.48,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
1,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,123.19,2.17,3.84,4.64,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
2,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,127.62,1.69,2.73,5.11,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
3,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,118.59,9.1,3.85,28.39,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
4,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,107.11,5.35,1.14,16.85,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,unknown_incorrect,bad form
5,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,113.69,20.14,1.64,72.35,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
6,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,110.82,11.69,1.95,40.14,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
